id_venda,id_produto,id_cliente,data,quantidade,preco
1,1,28,2021-01-01,3,51.4
2,2,1,2021-01-01,9,44.25
3,3,20,2021-01-01,3,18.3
4,4,21,2021-01-01,1,25.34
5,5,2,2021-01-01,7,17.5
6,6,15,2021-01-01,3,22.46
7,7,12,2021-01-01,5,14.1
8,8,27,2021-01-01,4,12.3
9,9,17,2021-01-01,3,21.5
10,10,27,2021-01-01,3,31.2
11,1,10,2021-01-02,6,51.4
12,2,25,2021-01-02,6,44.25
13,3,26,2021-01-02,3,18.3
14,4,28,2021-01-02,5,25.34
15,5,30,2021-01-02,1,17.5
16,6,6,2021-01-02,1,22.46
17,7,12,2021-01-02,1,14.1
18,8,15,2021-01-02,4,12.3
19,9,25,2021-01-02,5,21.5
20,10,24,2021-01-02,1,31.2
21,1,26,2021-01-03,3,51.4
22,2,11,2021-01-03,3,44.25
23,3,10,2021-01-03,6,18.3
24,4,29,2021-01-03,5,25.34
25,5,30,2021-01-03,3,17.5
26,6,27,2021-01-03,3,22.46
27,7,16,2021-01-03,3,14.1
28,8,1,2021-01-03,6,12.3
29,9,18,2021-01-03,6,21.5
30,10,23,2021-01-03,5,31.2
31,1,6,2021-01-04,14,51.4
32,2,28,2021-01-04,14,44.25
33,3,6,2021-01-04,6,18.3
34,4,2,2021-01-04,3,25.34
35,5,27,2021-01-04,7,17.5
36,6,7,2021-01-04,4,22.46
37,7,3,2021-01-04,7,14.1
38,8,1,2021-01-04,1,12.3
39,9,4,2021-01-04,5,21.5
40,10,9,2021-01-04,6,31.2
41,1,22,2021-01-05,14,51.4
42,2,8,2021-01-05,3,44.25
43,3,15,2021-01-05,14,18.3
44,4,22,2021-01-05,7,25.34
45,5,16,2021-01-05,6,17.5
46,6,7,2021-01-05,3,22.46
47,7,20,2021-01-05,5,14.1
48,8,14,2021-01-05,6,12.3
49,9,26,2021-01-05,1,21.5
50,10,30,2021-01-05,5,31.2
51,1,6,2021-01-06,6,51.4
52,2,23,2021-01-06,6,44.25
53,3,28,2021-01-06,14,18.3
54,4,25,2021-01-06,5,25.34
55,5,13,2021-01-06,1,17.5
56,6,1,2021-01-06,4,22.46
57,7,26,2021-01-06,6,14.1
58,8,6,2021-01-06,3,12.3
59,9,30,2021-01-06,1,21.5
60,10,20,2021-01-06,1,31.2
61,1,8,2021-01-07,3,51.4
62,2,3,2021-01-07,13,44.25
63,3,20,2021-01-07,3,18.3
64,4,11,2021-01-07,4,25.34
65,5,15,2021-01-07,7,17.5
66,6,24,2021-01-07,1,22.46
67,7,27,2021-01-07,1,14.1
68,8,27,2021-01-07,3,12.3
69,9,29,2021-01-07,7,21.5
70,10,1,2021-01-07,5,31.2
71,1,28,2021-01-08,12,51.4
72,2,22,2021-01-08,12,44.25
73,3,18,2021-01-08,3,18.3
74,4,3,2021-01-08,1,25.34
75,5,18,2021-01-08,7,17.5
76,6,27,2021-01-08,7,22.46
77,7,30,2021-01-08,4,14.1
78,8,4,2021-01-08,1,12.3
79,9,15,2021-01-08,4,21.5
80,10,21,2021-01-08,1,31.2
81,1,1,2021-01-09,10,51.4
82,2,7,2021-01-09,3,44.25
83,3,18,2021-01-09,9,18.3
84,4,13,2021-01-09,1,25.34
85,5,16,2021-01-09,5,17.5
86,6,2,2021-01-09,4,22.46
87,7,17,2021-01-09,3,14.1
88,8,28,2021-01-09,5,12.3
89,9,21,2021-01-09,1,21.5
90,10,16,2021-01-09,1,31.2
91,1,27,2021-01-10,3,51.4
92,2,24,2021-01-10,3,44.25
93,3,9,2021-01-10,9,18.3
94,4,11,2021-01-10,5,25.34
95,5,25,2021-01-10,1,17.5
96,6,10,2021-01-10,1,22.46
97,7,2,2021-01-10,5,14.1
98,8,15,2021-01-10,6,12.3
99,9,26,2021-01-10,6,21.5
100,10,11,2021-01-10,7,31.2
101,1,17,2021-01-11,6,51.4
102,2,23,2021-01-11,10,44.25
103,3,13,2021-01-11,7,18.3
104,4,21,2021-01-11,3,25.34
105,5,29,2021-01-11,5,17.5
106,6,15,2021-01-11,3,22.46
107,7,5,2021-01-11,3,14.1
108,8,22,2021-01-11,5,12.3
109,9,28,2021-01-11,6,21.5
110,10,26,2021-01-11,1,31.2
111,1,21,2021-01-12,3,51.4
112,2,25,2021-01-12,10,44.25
113,3,4,2021-01-12,7,18.3
114,4,9,2021-01-12,3,25.34
115,5,28,2021-01-12,1,17.5
116,6,20,2021-01-12,3,22.46
117,7,21,2021-01-12,1,14.1
118,8,27,2021-01-12,1,12.3
119,9,15,2021-01-12,3,21.5
120,10,18,2021-01-12,1,31.2
121,1,15,2021-01-13,9,51.4
122,2,25,2021-01-13,7,44.25
123,3,8,2021-01-13,6,18.3
124,4,10,2021-01-13,3,25.34
125,5,13,2021-01-13,5,17.5
126,6,30,2021-01-13,1,22.46
127,7,13,2021-01-13,7,14.1
128,8,3,2021-01-13,7,12.3
129,9,13,2021-01-13,1,21.5
130,10,4,2021-01-13,1,31.2
131,1,2,2021-01-14,7,51.4
132,2,29,2021-01-14,14,44.25
133,3,18,2021-01-14,15,18.3
134,4,2,2021-01-14,6,25.34
135,5,1,2021-01-14,6,17.5
136,6,26,2021-01-14,7,22.46
137,7,16,2021-01-14,5,14.1
138,8,3,2021-01-14,5,12.3
139,9,23,2021-01-14,7,21.5
140,10,18,2021-01-14,3,31.2
141,1,18,2021-01-15,11,51.4
142,2,23,2021-01-15,3,44.25
143,3,4,2021-01-15,10,18.3
144,4,20,2021-01-15,3,25.34
145,5,24,2021-01-15,6,17.5
146,6,22,2021-01-15,3,22.46
147,7,8,2021-01-15,6,14.1
148,8,8,2021-01-15,7,12.3
149,9,25,2021-01-15,3,21.5
150,10,22,2021-01-15,5,31.2
151,1,10,2021-01-16,3,51.4
152,2,13,2021-01-16,3,44.25
153,3,17,2021-01-16,10,18.3
154,4,29,2021-01-16,1,25.34
155,5,10,2021-01-16,3,17.5
156,6,15,2021-01-16,1,22.46
157,7,1,2021-01-16,4,14.1
158,8,30,2021-01-16,6,12.3
159,9,8,2021-01-16,1,21.5
160,10,11,2021-01-16,3,31.2
161,1,17,2021-01-17,13,51.4
162,2,28,2021-01-17,3,44.25
163,3,26,2021-01-17,13,18.3
164,4,14,2021-01-17,1,25.34
165,5,13,2021-01-17,4,17.5
166,6,22,2021-01-17,5,22.46
167,7,1,2021-01-17,4,14.1
168,8,8,2021-01-17,3,12.3
169,9,16,2021-01-17,5,21.5
170,10,21,2021-01-17,1,31.2
171,1,29,2021-01-18,6,51.4
172,2,28,2021-01-18,6,44.25
173,3,20,2021-01-18,10,18.3
174,4,1,2021-01-18,5,25.34
175,5,14,2021-01-18,6,17.5
176,6,23,2021-01-18,3,22.46
177,7,11,2021-01-18,3,14.1
178,8,4,2021-01-18,3,12.3
179,9,17,2021-01-18,1,21.5
180,10,7,2021-01-18,5,31.2
181,1,8,2021-01-19,13,51.4
182,2,19,2021-01-19,3,44.25
183,3,17,2021-01-19,10,18.3
184,4,20,2021-01-19,4,25.34
185,5,16,2021-01-19,1,17.5
186,6,29,2021-01-19,3,22.46
187,7,8,2021-01-19,1,14.1
188,8,3,2021-01-19,7,12.3
189,9,16,2021-01-19,7,21.5
190,10,25,2021-01-19,6,31.2
191,1,12,2021-01-20,7,51.4
192,2,18,2021-01-20,3,44.25
193,3,6,2021-01-20,3,18.3
194,4,6,2021-01-20,5,25.34
195,5,13,2021-01-20,1,17.5
196,6,5,2021-01-20,7,22.46
197,7,9,2021-01-20,3,14.1
198,8,23,2021-01-20,3,12.3
199,9,19,2021-01-20,7,21.5
200,10,6,2021-01-20,4,31.2
201,1,20,2021-01-21,11,51.4
202,2,7,2021-01-21,7,44.25
203,3,19,2021-01-21,3,18.3
204,4,17,2021-01-21,3,25.34
205,5,4,2021-01-21,3,17.5
206,6,12,2021-01-21,1,22.46
207,7,14,2021-01-21,3,14.1
208,8,2,2021-01-21,3,12.3
209,9,23,2021-01-21,7,21.5
210,10,27,2021-01-21,1,31.2
211,1,8,2021-01-22,12,51.4
212,2,12,2021-01-22,13,44.25
213,3,21,2021-01-22,3,18.3
214,4,22,2021-01-22,4,25.34
215,5,30,2021-01-22,6,17.5
216,6,20,2021-01-22,3,22.46
217,7,29,2021-01-22,1,14.1
218,8,17,2021-01-22,3,12.3
219,9,23,2021-01-22,6,21.5
220,10,20,2021-01-22,3,31.2
221,1,2,2021-01-23,6,51.4
222,2,18,2021-01-23,3,44.25
223,3,9,2021-01-23,15,18.3
224,4,18,2021-01-23,3,25.34
225,5,8,2021-01-23,6,17.5
226,6,6,2021-01-23,7,22.46
227,7,21,2021-01-23,1,14.1
228,8,13,2021-01-23,7,12.3
229,9,6,2021-01-23,5,21.5
230,10,11,2021-01-23,6,31.2
231,1,10,2021-01-24,9,51.4
232,2,23,2021-01-24,3,44.25
233,3,4,2021-01-24,15,18.3
234,4,10,2021-01-24,5,25.34
235,5,9,2021-01-24,3,17.5
236,6,22,2021-01-24,4,22.46
237,7,3,2021-01-24,3,14.1
238,8,8,2021-01-24,6,12.3
239,9,17,2021-01-24,4,21.5
240,10,13,2021-01-24,3,31.2
241,1,20,2021-01-25,10,51.4
242,2,24,2021-01-25,10,44.25
243,3,6,2021-01-25,3,18.3
244,4,4,2021-01-25,3,25.34
245,5,12,2021-01-25,1,17.5
246,6,14,2021-01-25,5,22.46
247,7,29,2021-01-25,4,14.1
248,8,7,2021-01-25,3,12.3
249,9,5,2021-01-25,1,21.5
250,10,28,2021-01-25,5,31.2
251,1,19,2021-01-26,15,51.4
252,2,7,2021-01-26,13,44.25
253,3,20,2021-01-26,9,18.3
254,4,24,2021-01-26,4,25.34
255,5,29,2021-01-26,4,17.5
256,6,4,2021-01-26,3,22.46
257,7,27,2021-01-26,6,14.1
258,8,30,2021-01-26,6,12.3
259,9,2,2021-01-26,1,21.5
260,10,26,2021-01-26,5,31.2
261,1,12,2021-01-27,7,51.4
262,2,24,2021-01-27,10,44.25
263,3,23,2021-01-27,3,18.3
264,4,13,2021-01-27,1,25.34
265,5,14,2021-01-27,7,17.5
266,6,23,2021-01-27,5,22.46
267,7,12,2021-01-27,5,14.1
268,8,9,2021-01-27,3,12.3
269,9,20,2021-01-27,1,21.5
270,10,29,2021-01-27,7,31.2
271,1,9,2021-01-28,3,51.4
